listing_id,brand_slug,brand_name_fa,manufacturer,name,model,trim,year,mileage,mileage_unknown,fuel,transmission,body_status,body_status_ordinal,price,scraped_at,source_url,created_at
d950e4b4a68e5db0,kmc,کیاموتورز,imported,T9,پیش فروش کی ام سی,2 لیتر توربو,1404,0.0,0,بنزینی,اتوماتیک,بدون رنگ,15,1350000000,2026-08-21 19:55:34.356523,https://bama.ir/car/yeewfhsb,2026-08-21 16:25:50
ac5ba6dcbf381afb,kmc,کیاموتورز,imported,J7,حواله کی ام سی,اتوماتیک,1404,0.0,0,بنزینی,اتوماتیک,بدون رنگ,15,2350000000,2026-08-21 19:55:34.356523,https://bama.ir/car/rlsmffpv,2026-08-21 16:25:50
53ac249cddfc13c6,kmc,کیاموتورز,imported,T9,حواله کی ام سی,2 لیتر توربو,1404,0.0,0,بنزینی,اتوماتیک,بدون رنگ,15,1350000000,2026-08-21 19:55:34.355524,https://bama.ir/car/n0rqokuz,2026-08-21 16:25:50
ba86f386774e4950,kmc,کیاموتورز,imported,J7,کی ام سی,اتوماتیک,1404,0.0,0,بنزینی,اتوماتیک,بدون رنگ,15,2350000000,2026-08-21 19:55:34.355524,https://bama.ir/car/fsajduqk,2026-08-21 16:25:50
1a218940981eb5a2,kmc,کیاموتورز,imported,SR3,کی ام سی,1.6 لیتر,1404,0.0,0,بنزینی,اتوماتیک,بدون رنگ,15,1100000000,2026-08-21 19:55:31.574035,https://bama.ir/car/5kq3ialj,2026-08-21 16:25:50
b4aed2a72f3d47eb,kmc,کیاموتورز,imported,J7,کی ام سی,اتوماتیک,1404,0.0,0,بنزینی,اتوماتیک,بدون رنگ,15,2850000000,2026-08-21 19:55:31.573037,https://bama.ir/car/ne9mzrah,2026-08-21 16:25:50
d9895e53f981af50,kmc,کیاموتورز,imported,T8,کی ام سی,دنده ای,1400,67000.0,0,بنزینی,دنده ای,بدون رنگ,15,2700000000,2026-08-21 19:55:31.573037,https://bama.ir/car/riqzihyt,2026-08-21 16:25:50
3abd7973a08397e6,kmc,کیاموتورز,imported,eJ7,پیش فروش کی ام سی,پلاس,1403,0.0,0,برقی,اتوماتیک,بدون رنگ,15,2650000000,2026-08-21 19:55:31.573037,https://bama.ir/car/ia36ij5f,2026-08-21 16:25:50
83320d2246fd614f,kmc,کیاموتورز,imported,J7,کی ام سی,اتوماتیک,1404,0.0,0,بنزینی,اتوماتیک,بدون رنگ,15,2700000000,2026-08-21 19:55:31.573037,https://bama.ir/car/y7gyqu8h,2026-08-21 16:25:50
dd8f61f311d7bde4,kmc,کیاموتورز,imported,ایگل,حواله کی ام سی,1.5 لیتر,1404,0.0,0,بنزینی,اتوماتیک,بدون رنگ,15,1100000000,2026-08-21 19:55:31.573037,https://bama.ir/car/0ertodhz,2026-08-21 16:25:50
c52e71864dbb6d46,kmc,کیاموتورز,imported,SR6,کی ام سی,1.5 لیتر توربو,1404,0.0,0,بنزینی,اتوماتیک,بدون رنگ,15,4300000000,2026-08-21 19:55:31.572034,https://bama.ir/car/mocju6vb,2026-08-21 16:25:50
3b0193793910e29e,kmc,کیاموتورز,imported,T9,کی ام سی,2 لیتر توربو,1404,0.0,0,بنزینی,اتوماتیک,بدون رنگ,15,5180000000,2026-08-21 19:55:31.572034,https://bama.ir/car/8o49ymyk,2026-08-21 16:25:50
0b0b730bcade7952,kmc,کیاموتورز,imported,J7,کی ام سی,اتوماتیک,1405,0.0,0,بنزینی,اتوماتیک,بدون رنگ,15,4200000000,2026-08-21 19:55:31.572034,https://bama.ir/car/hnjge14s,2026-08-21 16:25:50
50b61911563464fe,kmc,کیاموتورز,imported,SR6,کی ام سی,1.5 لیتر توربو,1404,0.0,0,بنزینی,اتوماتیک,بدون رنگ,15,5150000000,2026-08-21 19:55:31.572034,https://bama.ir/car/ynl12ghv,2026-08-21 16:25:50
67f790f3784d6be2,kmc,کیاموتورز,imported,T8,کی ام سی,دنده ای,1405,0.0,0,بنزینی,دنده ای,بدون رنگ,15,3000000000,2026-08-21 19:55:31.571044,https://bama.ir/car/hang2c1e,2026-08-21 16:25:50
823ba4f07a1f2953,kmc,کیاموتورز,imported,T8,کی ام سی,دنده ای,1403,18000.0,0,بنزینی,دنده ای,بدون رنگ,15,4290000000,2026-08-21 19:55:31.571044,https://bama.ir/car/vhsybtn1,2026-08-21 16:25:50
14e864468a691e0c,kmc,کیاموتورز,imported,T9,کی ام سی,2 لیتر توربو,1403,17000.0,0,بنزینی,اتوماتیک,بدون رنگ,15,6050000000,2026-08-21 19:55:28.772800,https://bama.ir/car/5zssm6e8,2026-08-21 16:25:50
0475dc43cdd755ca,kmc,کیاموتورز,imported,X5,کی ام سی,1.5 لیتر توربو,1404,17000.0,0,بنزینی,اتوماتیک,بدون رنگ,15,4050000000,2026-08-21 19:55:28.772800,https://bama.ir/car/bwlezewk,2026-08-21 16:25:50
f8674eb903a15acc,kmc,کیاموتورز,imported,SR6,کی ام سی,1.5 لیتر توربو,1404,0.0,0,بنزینی,اتوماتیک,بدون رنگ,15,5300000000,2026-08-21 19:55:28.772800,https://bama.ir/car/yerlotpt,2026-08-21 16:25:50
eb17c2c7450c82b1,kmc,کیاموتورز,imported,T9,کی ام سی,2 لیتر توربو,1404,0.0,0,بنزینی,اتوماتیک,بدون رنگ,15,2000000000,2026-08-21 19:55:28.772800,https://bama.ir/car/qmeljzgy,2026-08-21 16:25:50
e404ba44aab4baad,kmc,کیاموتورز,imported,SR3,کی ام سی,1.6 لیتر,1405,0.0,0,بنزینی,اتوماتیک,بدون رنگ,15,1100000000,2026-08-21 19:55:28.772800,https://bama.ir/car/7dmfoklb,2026-08-21 16:25:50
6ad4725daf5d26b3,kmc,کیاموتورز,imported,ایگل,کی ام سی,1.5 لیتر,1404,20000.0,0,بنزینی,اتوماتیک,بدون رنگ,15,2200000000,2026-08-21 19:55:28.771806,https://bama.ir/car/l1f0be2q,2026-08-21 16:25:50
